Invoice #,Invoice date,Payer,Referral #,Materials,Labor,Subtotal,Sales Tax,Gross Sales
452-5279568,2026-01-01,GEICO,726242,546.36,480,1026.36,42.62,1068.98
452-5279097,2026-01-01,Infinity ,754860,1012.92,1055,2067.92,79.01,2146.93
452-5278364,2026-01-01,PROGRESSIVE,743110,701.05,694.4,1395.45,54.68,1450.13
452-5278352,2026-01-01,PROGRESSIVE,744204,656.68,682,1338.68,51.22,1389.9
452-5278351,2026-01-01,Cash Job,,0,80,80,0,80
452-5278350,2026-01-01,Cash Job,,286,171.69,457.69,22.31,480
452-5278340,2026-01-01,TRAVELERS,669674,559.56,685.5,1245.06,43.65,1288.71
452-5278339,2026-01-01,GEICO,607159,262.72,108,370.72,20.5,391.22
452-5276797,2026-01-01,ALLSTATE,685244,605.6,594,1199.6,47.25,1246.85
452-5274629,2026-01-01,Cash Job,,0,80,80,0,80
452-5281048,2026-01-02,Cash Job,,207.79,176,383.79,16.21,400
452-5280404,2026-01-02,Cash Job,,0,80,80,0,80
452-5280326,2026-01-02,PROGRESSIVE,770557,820.02,604.6,1424.62,63.96,1488.58
452-5280324,2026-01-02,Cash Job,,131.93,202.78,334.71,10.29,345
452-5280054,2026-01-02,PROGRESSIVE,761151,573.4,229.4,802.8,44.73,847.53
452-5280044,2026-01-02,Cash Job,,0,80,80,0,80
452-5280039,2026-01-02,Cash Job,,741.04,376.16,1117.2,57.8,1175
452-5280035,2026-01-02,Cash Job,,115.77,174.2,289.97,9.03,299
452-5280033,2026-01-02,Cash Job,,210.98,447.56,658.54,16.46,675
452-5280026,2026-01-02,Cash Job,,138,251.24,389.24,10.76,400
452-5279989,2026-01-02,PROGRESSIVE,760983,791.67,235.6,1027.27,61.76,1089.03
452-5279958,2026-01-02,LIBERTY MUTUAL,696621,599.42,491.5,1090.92,46.76,1137.68
452-5279812,2026-01-02,Cash Job,,66.61,213.19,279.8,5.2,285
452-5279625,2026-01-02,PROGRESSIVE,760463,729.95,341.01,1070.96,56.93,1127.89
452-5279190,2026-01-02,PROGRESSIVE,746905,779.32,464.99,1244.31,60.79,1305.1
452-5278338,2026-01-02,JUST INSURE,607976,436.34,243,679.34,34.03,713.37
452-5282895,2026-01-04,Cash Job,,123.23,167.16,290.39,9.61,300
452-5282881,2026-01-04,Cash Job,,88,281.14,369.14,6.86,376
452-5282879,2026-01-04,ALLSTATE,768235,596.57,422.5,1019.07,46.54,1065.61
452-5282877,2026-01-04,Cash Job,,0,80,80,0,80
452-5282872,2026-01-04,PROGRESSIVE,764825,884.34,648.01,1532.35,68.98,1601.33
452-5280328,2026-01-04,USAA,765985,297.25,152,449.25,23.19,472.44
452-5283888,2026-01-05,STATE FARM,820218,534.59,477.2,1011.79,41.69,1053.48
452-5283851,2026-01-05,STATE FARM,818722,624.22,276,900.22,48.69,948.91
452-5283847,2026-01-05,GEICO,790559,418.16,424,842.16,32.62,874.78
452-5283845,2026-01-05,PROGRESSIVE,807770,793.83,637.23,1431.06,61.92,1492.98
452-5283842,2026-01-05,ALLSTATE,798938,435.78,597.5,1033.28,33.99,1067.27
452-5282887,2026-01-05,Farm bureau,655409,317.18,84,401.18,24.74,425.92
452-5282876,2026-01-05,GEICO,747062,320.22,140,460.22,24.98,485.2
452-5289301,2026-01-06,STATE FARM,,245.18,156.4,401.58,19.12,420.7
452-5289296,2026-01-06,STATE FARM,868694,588.37,536.79,1125.16,45.89,1171.05
452-5289106,2026-01-06,ALLSTATE,868334,621.57,422.5,1044.07,48.49,1092.56
452-5289047,2026-01-06,AAA,806801,540.6,447.5,988.1,42.17,1030.27
452-5288974,2026-01-06,STATE FARM,855425,518.36,142.6,660.96,40.42,701.38
452-5288940,2026-01-06,STATE FARM,868343,433.48,463.4,896.88,33.8,930.68
452-5288603,2026-01-06,Country Financial ,836660,429.4,463.4,892.8,33.5,926.3
452-5288310,2026-01-06,AMERICAN ACCESS CASUALTY COMPANY,861487,297.24,92,389.24,23.18,412.42
452-5288305,2026-01-06,STATE FARM,863379,313.63,174.79,488.42,24.46,512.88
452-5288102,2026-01-06,USAA,854539,312.12,124,436.12,24.35,460.47
452-5287541,2026-01-06,STATE FARM,814070,1076.95,518.6,1595.55,84,1679.55
452-5287540,2026-01-06,Kemper,855038,237.87,176,413.87,18.55,432.42
452-5287538,2026-01-06,STATE FARM,808896,565.54,514,1079.54,44.11,1123.65
452-5287536,2026-01-06,Cash Job,,74,245.23,319.23,5.77,325
452-5287534,2026-01-06,SAFECO,848771,283.06,80.5,363.56,22.08,385.64
452-5287530,2026-01-06,ALLSTATE,850723,476.9,468.5,945.4,37.2,982.6
452-5286588,2026-01-06,Cash Job,,128.73,356.23,484.96,10.04,495
452-5235845,2026-01-06,NATIONAL GENERAL INSURANCE,246287,1515.48,171.5,1686.98,118.21,1805.19
1091-5293746,2026-01-07,AUTO GLASS 2020 LLC,,0,800,800,0,800
452-5292091,2026-01-07,GEICO,630695,524.98,407,931.98,40.95,972.93
452-5290778,2026-01-07,Cash Job,,85.76,232.55,318.31,6.69,325
452-5290776,2026-01-07,Cash Job,,70.4,324.1,394.5,5.5,400
452-5290769,2026-01-07,STATE FARM,877201,526.55,110.4,636.95,41.07,678.02
452-5290739,2026-01-07,BRISTOL WEST,876532,1959.65,1030.75,2990.4,152.85,3143.25
452-5289724,2026-01-07,STATE FARM,869726,561.43,253,814.43,43.79,858.22
452-5289673,2026-01-07,Cash Job,,66.08,213.77,279.85,5.15,285
452-5289426,2026-01-07,ROOT,865875,630,438.6,1068.6,49.14,1117.74
452-5288128,2026-01-07,GEICO,713433,418.16,424,842.16,32.62,874.78
452-5295133,2026-01-08,Cash Job,,68,196.7,264.7,5.3,270
452-5295045,2026-01-08,Cash Job,,236.51,528.49,765,18.45,783.45
452-5295027,2026-01-08,PROGRESSIVE,001338,0,80,80,0,80
452-5294988,2026-01-08,STATE FARM,023057,767.81,463.6,1231.41,59.89,1291.3
452-5294264,2026-01-08,Cash Job,,0,200,200,0,200
452-5293431,2026-01-08,PROGRESSIVE,008146,877.18,453.62,1330.8,68.43,1399.23
452-5293397,2026-01-08,GEICO,785378,514.51,452,966.51,40.13,1006.64
452-5292327,2026-01-08,Cash Job,,100,392.2,492.2,7.8,500
452-5292297,2026-01-08,Cash Job,,145,418.69,563.69,11.31,575
452-5287524,2026-01-08,STATE FARM,848884,699.15,481.8,1180.95,54.53,1235.48
452-5278346,2026-01-08,PROGRESSIVE,733256,954.05,341.01,1295.06,74.41,1369.47
452-5278345,2026-01-08,PROGRESSIVE,732997,381.65,173.58,555.23,29.77,585
1091-5300290,2026-01-09,AUTO GLASS 2020 LLC,,0,800,800,0,800
452-5297739,2026-01-09,Cash Job,,85.07,233.29,318.36,6.64,325
452-5296057,2026-01-09,STATE FARM,031346,576.73,495.6,1072.33,44.98,1117.31
452-5295584,2026-01-09,Cash Job,,60.93,219.32,280.25,4.75,285
452-5295022,2026-01-09,USAA,865403,306.17,96,402.17,23.88,426.05
452-5294884,2026-01-09,PROGRESSIVE,022405,460.73,198.4,659.13,35.94,695.07
452-5294766,2026-01-09,Cash Job,,89,189.06,278.06,6.94,285
452-5291958,2026-01-09,STATE FARM,895980,454.69,128.79,583.48,35.45,618.93
452-5289686,2026-01-09,Cash Job,,467.06,245.51,712.57,36.43,749
452-5286628,2026-01-09,STATE FARM,836531,753.98,850,1603.98,58.81,1662.79
452-5299672,2026-01-11,Cash Job,,92,225.82,317.82,7.18,325
452-5299626,2026-01-11,Cash Job,,51.49,204.49,255.98,4.02,260
452-5299355,2026-01-11,Cash Job,,242,414.12,656.12,18.88,675
452-5299350,2026-01-11,USAA,031210,214.51,136,350.51,16.73,367.24
452-5299349,2026-01-11,Common Wealth,CAZ0071100,404.2,91,495.2,31.53,526.73
452-5298686,2026-01-11,Cash Job,,71.22,23.22,94.44,5.56,100
452-5298642,2026-01-11,STATE FARM,807555,192.62,138,330.62,15.02,345.64
452-5297292,2026-01-11,STATE FARM,042818,323.62,105.8,429.42,25.24,454.66
452-5297286,2026-01-11,Cash Job,,105.69,211.07,316.76,8.24,325
