Invoice #,Invoice date,Payer,Referral #,Materials,Labor,Subtotal,Sales Tax,Gross Sales
452-796480,2020-01-01,ALLSTATE,662804,0,0,0,0,0
452-796444,2020-01-02,Cash Job,,58.14,212.32,270.46,4.54,275
452-796073,2020-01-02,PROGRESSIVE,772464,328.67,192.19,520.86,25.64,546.5
452-794983,2020-01-02,USAA,879728,259.48,96,355.48,20.24,375.72
452-794978,2020-01-02,Cash Job,,124.36,285.94,410.3,9.7,420
452-794841,2020-01-02,STATEFARM,550726896,543.22,120.9,664.12,42.37,706.49
452-793590,2020-01-02,ALLSTATE,856940,293.44,91,384.44,22.89,407.33
452-791704,2020-01-02,STATEFARM,550582843,258.45,140.4,398.85,20.16,419.01
452-790812,2020-01-02,USAA,736147,128.29,96.17,224.46,10.01,234.47
452-748235,2020-01-02,NATIONWIDE PRIVATE,930116,2852.62,2662.5,5515.12,222.51,5737.63
452-799186,2020-01-03,TRAVELERS,908259,1636.44,600,2236.44,127.64,2364.08
452-799148,2020-01-03,NATIONAL GENERAL INSURANCE,934990,1554.25,725,2279.25,121.23,2400.48
452-799065,2020-01-03,Chubb,950571,2450,2175,4625,191.1,4816.1
452-798077,2020-01-03,GEICO,898953,229.79,136,365.79,17.92,383.71
452-798058,2020-01-03,SAFECO,826759,500.97,159.12,660.09,39.07,699.16
452-797075,2020-01-03,GEICO,868870,489.17,760.01,1249.18,38.15,1287.33
452-796797,2020-01-03,STATEFARM,550767460,368.16,210.6,578.76,28.72,607.48
452-796042,2020-01-03,GEICO,844740,355.88,156,511.88,27.76,539.64
452-796041,2020-01-03,USAA,833021,349.6,136,485.6,27.27,512.87
452-792879,2020-01-03,STATEFARM,550633170,688.76,105.29,794.05,53.73,847.78
452-786785,2020-01-03,STATEFARM,550380868,269.37,148.2,417.57,21.01,438.58
452-800757,2020-01-06,SAFECO,914889,361.3,209.52,570.82,28.18,599
452-800028,2020-01-06,SONORAN  LANDESIGNS,,53.36,92.48,145.84,4.16,150
