"Site Crawled","https://dunhamlaw.com/"
"Start Date","2026-03-01"
"Start Time","12:49:56"
"Last Modified Date","2026-03-01"
"Last Modified Time","13:30:35"
"Elapsed","00:40:39"
"Report Date","2026-03-01"
"Report Time","13:52:11"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","18382","100.00%","18382","URLs Encountered"
"Total URLs Crawled","18382","100.00%","18382","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","18382","URLs Encountered"
"Total External blocked by robots.txt","0","0.00%","18382","URLs Encountered"
""
"URLs Displayed","18382","100.00%","18382","URLs Displayed"
"Total Internal URLs","2104","11.45%","18382","URLs Displayed"
"Total External URLs","16278","88.55%","18382","URLs Displayed"
"Total Internal Indexable URLs","1708","9.29%","18382","URLs Displayed"
"Total Internal Non-Indexable URLs","396","2.15%","18382","URLs Displayed"
""
"Internal"
"All","2104","100.00%","2104","Internal URLs"
"HTML","1548","73.57%","2104","Internal URLs"
"JavaScript","38","1.81%","2104","Internal URLs"
"CSS","16","0.76%","2104","Internal URLs"
"Images","480","22.81%","2104","Internal URLs"
"Media","0","0.00%","2104","Internal URLs"
"Fonts","0","0.00%","2104","Internal URLs"
"XML","17","0.81%","2104","Internal URLs"
"PDF","0","0.00%","2104","Internal URLs"
"Plugins","0","0.00%","2104","Internal URLs"
"Other","5","0.24%","2104","Internal URLs"
"Unknown","0","0.00%","2104","Internal URLs"
""
"External"
"All","16278","100.00%","16278","External URLs"
"HTML","2192","13.47%","16278","External URLs"
"JavaScript","3696","22.71%","16278","External URLs"
"CSS","2","0.01%","16278","External URLs"
"Images","7587","46.61%","16278","External URLs"
"Media","0","0.00%","16278","External URLs"
"Fonts","2","0.01%","16278","External URLs"
"XML","0","0.00%","16278","External URLs"
"PDF","2","0.01%","16278","External URLs"
"Plugins","0","0.00%","16278","External URLs"
"Other","2797","17.18%","16278","External URLs"
"Unknown","0","0.00%","16278","External URLs"
""
"Security"
"All","2104","100.00%","2104","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","2104","All internal and non-HTML external URLs"
"HTTPS URLs","2104","100.00%","2104","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","2104","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","2104","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","2104","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","30","1.43%","2104","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","1","0.05%","2104","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","2104","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","535","25.43%","2104","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","0","0.00%","2104","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","535","25.43%","2104","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","535","25.43%","2104","All internal and non-HTML external URLs"
"Bad Content Type","299","14.21%","2104","All internal and non-HTML external URLs"
""
"Response Codes"
"All","18382","100.00%","18382","All Internal & External Crawled URLs"
"Blocked by Robots.txt","0","0.00%","18382","All Internal & External Crawled URLs"
"Blocked Resource","1","0.01%","18382","All Internal & External Crawled URLs"
"No Response","35","0.19%","18382","All Internal & External Crawled URLs"
"Success (2xx)","17796","96.81%","18382","All Internal & External Crawled URLs"
"Redirection (3xx)","517","2.81%","18382","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","18382","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","18382","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","18382","All Internal & External Crawled URLs"
"Client Error (4xx)","31","0.17%","18382","All Internal & External Crawled URLs"
"Server Error (5xx)","3","0.02%","18382","All Internal & External Crawled URLs"
"Internal All","2104","11.45%","18382","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","18382","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","18382","All Internal Crawled URLs"
"Internal No Response","0","0.00%","18382","All Internal Crawled URLs"
"Internal Success (2xx)","1772","9.64%","18382","All Internal Crawled URLs"
"Internal Redirection (3xx)","331","1.80%","18382","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","18382","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","18382","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","18382","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","18382","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","18382","All Internal Crawled URLs"
"Internal Client Error (4xx)","1","0.01%","18382","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","18382","All Internal Crawled URLs"
"External All","16278","88.55%","18382","All External Crawled URLs"
"External Blocked by Robots.txt","0","0.00%","18382","All External Crawled URLs"
"External Blocked Resource","1","0.01%","18382","All External Crawled URLs"
"External No Response","35","0.19%","18382","All External Crawled URLs"
"External Success (2xx)","16024","87.17%","18382","All External Crawled URLs"
"External Redirection (3xx)","186","1.01%","18382","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","18382","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","18382","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","18382","All External Crawled URLs"
"External Client Error (4xx)","30","0.16%","18382","All External Crawled URLs"
"External Server Error (5xx)","3","0.02%","18382","All External Crawled URLs"
""
"URL"
"All","2104","100.00%","2104","Internal URLs"
"Non ASCII Characters","0","0.00%","2104","Internal URLs"
"Underscores","0","0.00%","2104","Internal URLs"
"Uppercase","2","0.10%","2104","Internal URLs"
"Multiple Slashes","0","0.00%","2104","Internal URLs"
"Repetitive Path","0","0.00%","2104","Internal URLs"
"Contains Space","0","0.00%","2104","Internal URLs"
"Internal Search","0","0.00%","2104","Internal URLs"
"Parameters","37","1.76%","2104","Internal URLs"
"Broken Bookmark","0","0.00%","2104","Internal URLs"
"GA Tracking Parameters","0","0.00%","2104","Internal URLs"
"Over 115 Characters","33","1.57%","2104","Internal URLs"
""
"Page Titles"
"All","1216","100.00%","1216","Internal HTML pages with 2xx response"
"Missing","0","0.00%","1216","Internal HTML pages with 2xx response"
"Duplicate","328","26.97%","1216","Internal HTML pages with 2xx response"
"Over 60 Characters","707","58.14%","1216","Internal HTML pages with 2xx response"
"Below 30 Characters","2","0.16%","1216","Internal HTML pages with 2xx response"
"Over 561 Pixels","765","62.91%","1216","Internal HTML pages with 2xx response"
