Untitled report
"December 1, 2022 - December 2, 2025"
Month,Currency code,Cost,Conversions,Cost / conv.,Conv. rate
December 2025,USD,3352.30,43.50,77.06,5.88%
November 2025,USD,45949.15,967.73,47.48,9.04%
October 2025,USD,22561.95,560.68,40.24,9.49%
September 2025,USD,22335.88,488.53,45.72,7.85%
August 2025,USD,23090.81,555.73,41.55,8.57%
July 2025,USD,22048.66,506.06,43.57,8.21%
June 2025,USD,17196.10,423.70,40.59,8.50%
May 2025,USD,20176.17,498.13,40.50,8.44%
April 2025,USD,21734.59,505.18,43.02,8.17%
March 2025,USD,24131.11,564.51,42.75,8.48%
February 2025,USD,24635.64,542.50,45.41,8.15%
January 2025,USD,26670.41,618.00,43.16,8.21%
December 2024,USD,22732.83,526.75,43.16,8.11%
November 2024,USD,30100.44,759.30,39.64,8.88%
October 2024,USD,17562.08,450.61,38.97,8.60%
September 2024,USD,18391.96,375.00,49.05,7.16%
August 2024,USD,18760.02,437.00,42.93,8.34%
July 2024,USD,15137.66,362.00,41.82,7.96%
June 2024,USD,13414.93,381.99,35.12,9.41%
May 2024,USD,16408.53,390.01,42.07,8.55%
April 2024,USD,23510.34,516.85,45.49,8.69%
March 2024,USD,25977.39,534.15,48.63,8.49%
February 2024,USD,30833.70,544.00,56.68,8.21%
January 2024,USD,30077.28,534.50,56.27,8.22%
December 2023,USD,32597.05,642.33,50.75,8.99%
November 2023,USD,33959.16,650.67,52.19,8.00%
October 2023,USD,28346.33,500.33,56.65,7.41%
September 2023,USD,24144.79,463.97,52.04,7.80%
August 2023,USD,21761.39,522.53,41.65,9.44%
July 2023,USD,21087.54,495.00,42.60,9.14%
June 2023,USD,17887.53,444.50,40.24,8.84%
May 2023,USD,15035.05,380.50,39.51,8.48%
April 2023,USD,7413.40,137.00,54.11,3.79%
March 2023,USD,3297.37,36.00,91.59,1.71%
February 2023,USD,4005.38,28.00,143.05,0.76%
January 2023,USD,3964.25,44.00,90.10,0.89%
December 2022,USD,3303.99,0.00,0,0.00%
