Untitled report
"January 1, 2017 - December 2, 2025"
Month,Currency code,Cost,Conversions,Cost / conv.,Conv. rate
December 2025,USD,2760.51,30.00,92.02,3.77%
November 2025,USD,42504.48,924.83,45.96,7.26%
October 2025,USD,21489.76,506.80,42.40,7.40%
September 2025,USD,22543.98,476.80,47.28,6.65%
August 2025,USD,22397.74,517.28,43.30,6.90%
July 2025,USD,18422.80,412.95,44.61,6.43%
June 2025,USD,20812.09,434.82,47.86,6.53%
May 2025,USD,25680.66,549.68,46.72,7.09%
April 2025,USD,21723.57,502.49,43.23,7.30%
March 2025,USD,22439.20,532.01,42.18,7.63%
February 2025,USD,23461.95,515.68,45.50,6.81%
January 2025,USD,28147.08,644.08,43.70,6.47%
December 2024,USD,31286.54,695.16,45.01,6.37%
November 2024,USD,29137.64,740.52,39.35,7.23%
October 2024,USD,21668.60,505.63,42.85,6.82%
September 2024,USD,21145.38,417.51,50.65,5.94%
August 2024,USD,21512.30,464.50,46.31,6.88%
July 2024,USD,18155.12,398.00,45.62,6.33%
June 2024,USD,17533.92,390.50,44.90,6.45%
May 2024,USD,20153.54,414.50,48.62,6.08%
April 2024,USD,22880.08,528.78,43.27,7.06%
March 2024,USD,22352.15,457.65,48.84,5.79%
February 2024,USD,27303.49,560.84,48.68,6.15%
January 2024,USD,26862.26,583.56,46.03,6.73%
December 2023,USD,28634.75,591.50,48.41,6.44%
November 2023,USD,32600.15,695.67,46.86,6.85%
October 2023,USD,29153.26,591.03,49.33,6.35%
September 2023,USD,29169.72,559.47,52.14,6.12%
August 2023,USD,31119.35,625.47,49.75,6.13%
July 2023,USD,31675.11,565.96,55.97,5.49%
June 2023,USD,24564.54,519.26,47.31,6.29%
May 2023,USD,21021.10,424.86,49.48,6.60%
April 2023,USD,33006.86,578.13,57.09,6.93%
March 2023,USD,34444.33,611.20,56.36,6.52%
February 2023,USD,29352.13,553.33,53.05,6.90%
January 2023,USD,32257.72,561.87,57.41,6.35%
December 2022,USD,34468.14,627.00,54.97,6.87%
November 2022,USD,28984.60,510.00,56.83,5.71%
October 2022,USD,29957.14,472.00,63.47,5.16%
September 2022,USD,27899.27,453.00,61.59,5.56%
August 2022,USD,21725.08,383.00,56.72,5.71%
July 2022,USD,21302.11,266.00,80.08,4.10%
June 2022,USD,25878.44,363.00,71.29,4.82%
May 2022,USD,22060.69,333.00,66.25,4.45%
April 2022,USD,32298.94,505.00,63.96,3.72%
March 2022,USD,25347.59,415.00,61.08,5.43%
February 2022,USD,32588.93,500.00,65.18,5.36%
January 2022,USD,43109.61,690.00,62.48,5.37%
December 2021,USD,33101.86,581.00,56.97,5.38%
November 2021,USD,31262.06,504.00,62.03,4.88%
October 2021,USD,29436.72,440.00,66.90,5.06%
September 2021,USD,32344.11,497.00,65.08,5.34%
August 2021,USD,31501.32,510.00,61.77,5.44%
July 2021,USD,29769.43,524.00,56.81,6.15%
June 2021,USD,24678.30,388.00,63.60,5.87%
May 2021,USD,34699.56,524.00,66.22,5.87%
April 2021,USD,35775.22,558.00,64.11,6.75%
March 2021,USD,35071.40,624.00,56.20,7.70%
February 2021,USD,33120.98,541.00,61.22,7.14%
January 2021,USD,34682.35,691.00,50.19,7.62%
December 2020,USD,35607.58,773.00,46.06,7.85%
November 2020,USD,31071.11,655.00,47.44,7.66%
October 2020,USD,29821.58,528.00,56.48,6.90%
September 2020,USD,29707.96,480.00,61.89,6.21%
August 2020,USD,30337.83,526.00,57.68,7.39%
July 2020,USD,19196.17,417.00,46.03,7.76%
June 2020,USD,15170.08,388.00,39.10,7.41%
May 2020,USD,16787.41,522.00,32.16,8.14%
April 2020,USD,15764.73,546.00,28.87,8.75%
March 2020,USD,14793.19,448.00,33.02,8.07%
February 2020,USD,15463.26,486.00,31.82,7.93%
January 2020,USD,15212.06,400.00,38.03,6.61%
December 2019,USD,27203.15,570.00,47.72,7.39%
November 2019,USD,27975.05,661.00,42.32,7.55%
October 2019,USD,15437.18,344.00,44.88,6.72%
September 2019,USD,6440.23,199.00,32.36,7.43%
August 2019,USD,12347.48,435.00,28.39,10.42%
July 2019,USD,18230.44,654.00,27.88,11.06%
June 2019,USD,10660.03,413.00,25.81,10.03%
May 2019,USD,12877.17,516.00,24.96,12.00%
April 2019,USD,12537.85,566.00,22.15,13.32%
March 2019,USD,15352.60,538.00,28.54,12.60%
February 2019,USD,13319.67,557.00,23.91,14.45%
January 2019,USD,16092.24,616.00,26.12,13.45%
December 2018,USD,13848.21,597.00,23.20,11.56%
November 2018,USD,16556.56,717.00,23.09,10.13%
October 2018,USD,13817.01,608.00,22.73,11.34%
September 2018,USD,16085.67,555.00,28.98,9.35%
August 2018,USD,18037.78,673.00,26.80,10.55%
July 2018,USD,17890.72,668.00,26.78,10.29%
June 2018,USD,13562.49,569.00,23.84,11.45%
May 2018,USD,9716.40,467.00,20.81,11.64%
April 2018,USD,10572.71,475.00,22.26,10.96%
March 2018,USD,14460.25,529.00,27.34,8.85%
February 2018,USD,12534.75,627.00,19.99,10.50%
January 2018,USD,11904.87,757.00,15.73,12.05%
December 2017,USD,15161.81,781.00,19.41,9.95%
November 2017,USD,12420.74,616.00,20.16,7.15%
October 2017,USD,10417.95,520.00,20.03,9.40%
September 2017,USD,7955.64,301.00,26.43,8.34%
August 2017,USD,8052.25,310.00,25.98,8.60%
July 2017,USD,8929.00,357.00,25.01,8.77%
June 2017,USD,7847.29,293.00,26.78,8.20%
May 2017,USD,4907.72,190.00,25.83,8.02%
April 2017,USD,3941.52,165.00,23.89,10.19%
March 2017,USD,2124.52,73.00,29.10,8.42%
February 2017,USD,283.15,7.00,40.45,6.73%
January 2017,USD,155.70,3.00,51.90,5.45%
